replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
1199953,5.8348303,5.8324385,0,0,742.08887,348.02203,55.24523,384.511,27.506554,348.02612,55.43493,383.34192,25.298868,348.06885,55.686367,386.3584,27.268549,0.09947342,0.036423866,0.26436526,0.042032465,0.042496514,0.100762844,1.6664447,1.0336054e-05,0.08575219,0.16946329,2.4982631,0.0003299653,22026.466796875,0,0,1830052,5772,666.0,385.6701032896231,1000,220,3.6290233554745677,0.7609914748155311,5.739803569501225,0.9746758217382337,2416.929554746062,1488.669422805372,3770.6454115560364,697.1717498625303,0.06502788,0.54746014,0.99997884,-0.9999998,7,2416.929554746062,5.54086680803448,0.0051144082099199295,0.018926802091300488,103.74861027905717,109.31351829739287,36942.26454104995,388
1199953,18.807674,17.32319,0,0,764.8131,347.80447,56.807552,410.85806,13.272861,347.62805,56.86722,412.0808,8.913945,347.43658,56.79507,411.6878,7.2320323,0.10048762,0.05091591,0.46581447,0.03506864,0.08688533,0.35355625,4.100334,6.473434e-06,0.21455032,1.3590238,24.506506,0.00017487543,22026.466796875,0,0,1834243,5779,598.7142857142857,301.4932902763056,1000,221,3.7733403382724813,0.9077542928842324,7.059289893002188,0.7411028136113507,2259.1527653857106,1189.5680528511068,3775.0449226570886,697.0046461394626,0.058435835,0.5714499,1.0,-1.0,7,2259.1527653857106,5.535907982848585,0.004734336864203215,0.03255656594410539,70.7543576140888,76.3275564997457,37018.59408304095,389
1199953,6.4709682,7.96887,0,0,912.1826,348.49658,54.55517,396.4163,23.63617,348.7485,54.35508,393.72946,25.85773,348.6133,54.27219,396.09424,27.682056,0.1072247,0.048462715,0.42783406,0.029909745,0.06514339,0.25208578,3.7460597,9.035378e-06,0.18946251,1.0359676,16.366125,0.0002091056,22026.466796875,0,0,1839058,5800,229.28571428571428,28.64585544216834,357,217,3.186020997285562,1.0251215172675263,5.74281039675423,0.9333093320659761,730.509100091904,138.63058374808284,1350.0104038743348,688.1620073940002,0.04346368,0.5040046,0.99972075,-0.9999983,21,730.509100091904,6.947092805989087,0.004990581888705492,0.017042371910065413,96.73162113968283,103.70074689947069,37122.296764585655,390
1199953,5.9627724,5.558289,0,0,790.74414,347.70724,54.83049,384.95822,18.529047,348.10388,54.632004,385.34756,22.515219,348.19528,54.849335,384.99634,22.846693,0.10167961,0.044331234,0.46478134,0.039561916,0.050173026,0.18250394,2.9159057,1.46126795e-05,0.1366606,0.83865803,21.112953,0.0004479473,22026.466796875,0,0,1843878,5810,482.0,307.54349285914014,1000,218,3.585126655357924,0.8764048085412345,6.056614353138247,0.8371680786103619,1728.0310478825202,1178.4911976690798,3650.354255832319,692.6543232032217,0.045398418,0.54330933,1.0,-0.9999998,10,1728.0310478825202,5.494786066003144,0.00891749607399106,0.031984927598387,101.90515562193468,107.4408441116102,37229.74028882012,391
1199953,4.113358,5.2691913,0,0,850.5096,348.83014,54.103653,384.3877,12.313895,349.00452,53.711792,382.8428,13.034177,348.90646,54.12737,384.40994,4.2100434,0.10444808,0.041895527,0.27571818,0.028906474,0.055645168,0.12617955,1.1909382,1.744947e-05,0.114065945,0.2795223,4.045973,0.00035604968,22026.466796875,0,0,1848400,5816,753.6666666666666,349.05809767939144,1000,223,3.6340896547554635,0.7279539302480921,6.438350728687327,0.8794279721753124,2738.8922364673685,1315.1600295420417,3705.203911688303,704.9099229842259,0.05749314,0.5486002,0.99998134,-0.9999998,6,2738.8922364673685,5.44972478132695,0.0045614829286932945,0.016984337009489536,83.9405197869055,89.41179038817063,37319.15427324502,392
1199953,7.9453535,7.2279954,0,0,846.53033,344.6684,63.22641,384.39926,2.12435,344.9201,63.431786,384.77722,5.985053,344.8902,63.839897,383.17508,4.9805493,0.10406503,0.043533262,0.29792628,0.032503523,0.05962036,0.15430127,3.1724648,4.217276e-06,0.12754896,0.35879558,6.8300276,0.00048233353,22026.466796875,0,0,1853027,5824,578.375,341.71696530169527,1000,222,3.565901494853375,0.812145633911485,6.1032084792359464,0.9145781519285399,2062.4282770858204,1281.5188386705418,3652.5560261025084,691.8429534927558,0.056087792,0.55028087,0.9999938,-0.99999994,8,2062.4282770858204,5.505275176372379,0.00490516796708107,0.01739772269502282,92.81238398468122,98.3399620517157,37417.496166800614,393
1199953,3.2268696,3.1075206,0,0,839.9182,349.92426,52.814625,387.6238,4.546661,350.0821,53.041553,389.80707,3.583445,350.39618,53.229347,392.61682,5.809492,0.10400824,0.041917294,0.41461697,0.02963346,0.054887064,0.13685776,2.2776945,9.443591e-06,0.12179462,0.47770852,7.941408,0.00041640917,22026.466796875,0,0,1857941,5833,546.0,330.6055050963308,1000,265,3.587306727271118,0.8530073120917557,6.477288181884154,0.9830464964513445,1958.6694730900313,1244.5917270637046,3659.7317847358836,906.9250631298985,0.04529721,0.54804826,1.0,-1.0,9,1958.6694730900313,5.048291912768036,0.005096111912280321,0.0174959902651608,87.6835263823159,92.75441039726138,37510.25269706221,394
1199953,35.736736,37.214783,0,0,732.4254,352.20526,43.9903,384.30536,67.64491,351.95288,44.628864,382.50308,65.10276,351.6624,44.510128,382.7903,62.40397,0.09920457,0.040966816,0.26498163,0.031456057,0.0466218,0.10942403,1.3829486,1.5280497e-05,0.09700653,0.21211815,3.8891742,0.00025659817,22026.466796875,0,0,1862812,5841,608.875,312.7300902935309,1000,222,3.6978367329839212,0.8076071861729959,6.2846478397841885,0.8623295845478631,2251.520340795585,1219.4925766668216,3767.0002791792485,698.2142431750472,0.04463214,0.54929984,0.99999994,-1.0,8,2251.520340795585,5.4773644232191145,0.011863015126436949,0.04354582028463483,104.3333064969629,109.86607975559309,37620.121773739345,395
1199953,5.749218,6.780182,0,0,756.65,346.9364,55.8758,385.53754,37.933193,346.90952,55.28399,383.97733,39.1257,346.99762,55.962143,383.31296,36.786324,0.100076266,0.039104957,0.2348154,0.03584029,0.04822772,0.089074634,0.93270814,6.725947e-06,0.08792962,0.14318638,1.5786167,0.00012346338,22026.466796875,0,0,1867676,5855,347.42857142857144,268.4685973351484,1000,216,3.474156885179686,0.9751753114339202,7.137585291439119,1.0097939517652699,1207.0213635367131,1039.262789327074,3729.3122183600412,684.2401096815327,0.054857682,0.5369288,0.9999982,-0.99999994,14,1207.0213635367131,5.163575612008572,0.011994385160505772,0.043428558856248856,101.9823038149625,107.20130237098783,37727.326896657236,396
1199953,8.046314,9.818672,0,0,1008.6598,339.77066,74.393036,407.61145,1.3196212,339.513,74.07066,413.25113,-3.238034,338.46582,74.6686,409.70932,-0.57475567,0.11119602,0.046726447,0.30227122,0.026865207,0.081205316,0.23236723,3.5793998,1.8878201e-05,0.15475869,0.4961497,10.04602,0.00017353527,22026.466796875,0,0,1872231,5869,325.35714285714283,275.9010192967391,1000,155,3.3626505223712093,0.8925596997094859,5.787076744684362,0.9685120811339067,1094.0623663857752,1042.9698232612882,3677.8385565809253,437.15007728955464,0.04159526,0.5088205,0.9999589,-0.9999997,14,1094.0623663857752,5.566893494222313,0.008628638926893473,0.03540446003898978,102.65270038507879,108.26362697826698,37835.593895458616,397
