Q_target Mean,Q_target Std,Q_target Max,Q_target Min,Actor Loss,Critic Loss,Actions Mean,Actions Std,Actions Max,Actions Min,Mid Actions Mean,Mid Actions Std,Mid Actions Max,Mid Actions Min,Latent Actions Mean,Latent Actions Std,Latent Actions Max,Latent Actions Min,Latent Actions Norm Mean,Latent Actions Norm Std,Latent Actions Norm Max,Latent Actions Norm Min,Perturbation Norm Mean,Perturbation Norm Std,Perturbation Norm Max,Perturbation Norm Min,Current_Q Mean,Current_Q Std,Current_Q Max,Current_Q Min,Training Epochs,Eval_critic/Reward,Eval_critic/Return,Eval_critic/Average_Q,Eval_critic/Error Mean,Eval_critic/Error Std,Eval_critic/MSE,Eval_critic/Positive Error Percentage,Eval_critic/Positive Error Mean,Eval_critic/Positive Error Std,Eval_critic/Negative Error Mean,Eval_critic/Negative Error Std,AverageReturn
137.80359,42.55429,206.07712,3.5591772,-138.99312,9.205202,0.07885596,0.5153181,1.0,-1.0,0.07280567,0.49875766,0.9964933,-0.9993548,0.1927034,1.8580409,2.0,-2.0,4.5677595,0.26884803,4.898883,3.6663117,0.08081388,0.008177834,0.08660254,0.049221646,138.42197,42.778645,204.50711,5.25464,11,542.0661021756093,194.55090014684342,141.9215,-52.62940609305145,63.15732052739811,6758.701521907825,0.3033033033033033,27.921612854082447,23.147057125064006,-87.69687554848474,37.916639095017956,539.6489894025622
143.34921,42.00047,215.75427,10.153446,-144.52553,5.469781,0.12443011,0.5818917,1.0,-1.0,0.1184952,0.55850583,0.99462724,-0.9970714,0.19033849,1.8529084,2.0,-2.0,4.551724,0.3143138,4.8981357,3.3303847,0.079974405,0.009224566,0.08660256,0.033549808,143.07445,42.13325,216.51534,9.865283,12,285.43369830082906,146.41842034669384,129.5935,-16.824915263719713,47.737596930352346,2561.9559343161345,0.44831013916500995,24.292112694186635,33.07549273727624,-50.23713077545983,27.414367154098898,381.07034866727435
147.0086,51.482788,230.6269,2.9753466,-146.9422,12.111261,0.08564775,0.58075684,1.0,-1.0,0.084293164,0.557869,0.99857825,-0.9995938,0.1871629,1.8725902,2.0,-2.0,4.598395,0.3232769,4.8987207,3.1755426,0.080334015,0.0087541565,0.08660256,0.045677338,145.86172,50.882553,227.72356,7.1716857,13,438.54935642867804,168.55813768785987,145.16505,-23.39308504868146,45.54899086578281,2621.94699698601,0.43037088873338,19.808815369836974,19.018728146170474,-56.03334150739011,29.89016432169513,429.36128205517645
159.72589,43.279675,236.95538,24.975918,-162.18967,15.273693,0.07232867,0.54830796,1.0,-1.0,0.06906828,0.52791584,0.9985434,-0.99979734,0.11395022,1.8682208,2.0,-2.0,4.5739074,0.31428403,4.898928,2.8864107,0.08067506,0.008427743,0.086602524,0.044863664,160.83719,43.71168,240.13814,26.207554,14,321.85963222504967,180.1802846334568,164.88937,-15.290908950551238,62.364170762403525,4123.101691416275,0.44019607843137254,44.63658268414233,37.88108519006419,-62.41427802932079,27.831934881592275,320.05470262637203
165.25252,60.356712,251.25587,11.728941,-165.59306,37.92395,0.01822677,0.5761811,1.0,-1.0,0.022727855,0.55926424,0.99848473,-0.99985105,0.12026479,1.8607188,2.0,-2.0,4.556395,0.31574044,4.897449,3.549528,0.07748426,0.009677915,0.08660255,0.04999867,165.41826,60.058918,249.34077,11.363438,15,175.11905881551144,157.36284835717998,164.3434,6.980548347811664,72.74424126251571,5340.452692095229,0.545,62.57152656334086,47.14264991584748,-59.6064475367233,28.85600300588179,124.22319925619021
155.44467,67.7784,258.04117,1.2745862,-157.66919,383.59058,-0.01836451,0.56015843,1.0,-1.0,-0.014279505,0.5391098,0.99108416,-0.99957436,0.19858077,1.8517365,2.0,-2.0,4.55212,0.29729107,4.8987846,3.5122066,0.07982062,0.0072216517,0.08660255,0.056462366,156.70227,66.39636,259.1546,1.6771241,16,582.6675888192486,199.68248583687728,173.5513,-26.131181902392488,51.4366768889593,3328.5703969951237,0.37361477572559365,30.71906039013146,18.880947099911143,-60.04017225041856,30.555238975396666,566.1654062837086
175.02455,67.971275,278.45624,4.221897,-176.77133,25.681221,0.04466927,0.56144536,1.0,-1.0,0.04688694,0.54289156,0.99920344,-0.9996137,0.2602269,1.8565781,2.0,-2.0,4.5803523,0.3285934,4.89896,3.5418386,0.07816493,0.009409266,0.08660256,0.050724134,174.54941,67.99495,274.14893,4.574363,17,307.97065723170965,128.6771673809579,142.21251,13.535345173435978,32.080353342076904,1212.3546395165615,0.6866319444444444,29.05896067801231,24.376535971887673,-20.479003480635708,17.23792218657296,296.10301886284344
180.7262,64.11389,279.1733,4.763647,-181.6557,15.938864,-0.004056314,0.57192844,1.0,-1.0,0.0049385484,0.55183566,0.99659127,-0.9989262,0.10543415,1.8713894,2.0,-2.0,4.581312,0.30144206,4.8989735,3.676895,0.08092799,0.007369482,0.08660256,0.053826366,180.04425,63.983654,283.836,5.7055016,18,407.3979127748731,157.9295007132924,166.69456,8.765068973000245,24.716196460428964,687.7168015719728,0.656137832017229,23.675444930087522,14.471820456164519,-19.686045066201782,11.96846686041923,402.7613965477826
192.9785,61.70987,298.86377,5.217849,-193.04945,18.7006,0.046931818,0.5689142,1.0,-1.0,0.05595453,0.55436486,0.99577427,-0.99992186,0.07017529,1.8803895,2.0,-2.0,4.5984907,0.31402472,4.898975,3.5004416,0.078619726,0.008107792,0.08660255,0.04944319,191.56891,61.719566,296.25427,-0.292935,19,414.83782146490205,160.27612036468346,170.96553,10.689409968421774,22.17909776208299,606.1758630130295,0.6130867709815079,25.180632596910336,14.835152992187963,-12.272784711278845,7.913994857318363,428.40552527367754
212.18456,60.06673,304.46536,4.0065155,-213.15712,22.679443,0.031071028,0.55003583,1.0,-1.0,0.037078813,0.5343209,0.9997626,-0.9993926,0.14681165,1.8563648,2.0,-2.0,4.551062,0.3061007,4.898914,3.4179716,0.07849661,0.008396062,0.08660256,0.051740047,212.19557,60.022495,308.97336,-6.4211855,20,478.26839676666316,174.29011952322392,185.57968,11.28956487954863,32.2689332168196,1168.7383261211012,0.6455266138165345,31.786136411589784,17.9074608107252,-26.036459955158893,13.974394644350344,491.2492159459509
