algo,env,dataset,final return,final std,final normalized return,final normalized std,best return,best std,best normalized return,best normalized std
IQL,walker2d,medium-v0,2742.6,408.8,59.7,8.9,3662.1,25.8,79.7,0.6
IQL,walker2d,random-v0,267.4,12.4,5.8,0.3,353.1,7.9,7.7,0.2
PLAS,halfcheetah,medium-expert-v0,9805.4,1194.2,81.2,9.6,12455.0,239.3,102.6,1.9
PLAS,halfcheetah,medium-replay-v0,5166.6,49.0,43.9,0.4,5249.4,45.8,44.5,0.4
PLAS,halfcheetah,medium-v0,4655.0,48.0,39.8,0.4,4723.8,52.6,40.3,0.4
PLAS,halfcheetah,random-v0,3058.0,171.0,26.9,1.4,3764.4,186.4,32.6,1.5
PLAS,hopper,medium-expert-v0,3259.5,1035.5,100.8,31.8,3469.0,596.2,107.2,18.3
PLAS,hopper,medium-replay-v0,549.5,431.3,17.5,13.3,1345.0,265.4,41.9,8.2
PLAS,hopper,medium-v0,1870.2,770.0,58.1,23.7,2976.5,518.7,92.1,15.9
PLAS,hopper,random-v0,317.4,9.2,10.4,0.3,329.5,8.6,10.7,0.3
PLAS,walker2d,medium-expert-v0,4293.4,417.2,93.5,9.1,4956.2,70.7,107.9,1.5
PLAS,walker2d,medium-replay-v0,958.9,608.3,20.9,13.3,2285.3,172.0,49.7,3.7
PLAS,walker2d,medium-v0,1517.6,443.5,33.0,9.7,2889.3,257.0,62.9,5.6
PLAS,walker2d,random-v0,299.6,332.3,6.5,7.2,988.0,106.4,21.5,2.3
PLAS+P,halfcheetah,medium-expert-v0,9847.2,1008.2,81.6,8.1,12268.4,284.0,101.1,2.3
PLAS+P,halfcheetah,medium-replay-v0,5278.4,130.0,44.8,1.0,5429.2,37.8,46.0,0.3
PLAS+P,halfcheetah,medium-v0,4937.3,74.9,42.0,0.6,5087.1,47.2,43.2,0.4
PLAS+P,halfcheetah,random-v0,3109.5,291.0,27.3,2.3,3787.7,158.1,32.8,1.3
PLAS+P,hopper,medium-expert-v0,2503.1,1641.5,77.5,50.4,3641.5,87.8,112.5,2.7
PLAS+P,hopper,medium-replay-v0,629.4,851.9,20.0,26.2,2951.1,389.2,91.3,12.0
PLAS+P,hopper,medium-v0,1725.7,781.4,53.6,24.0,2939.1,645.9,90.9,19.8
PLAS+P,hopper,random-v0,387.7,48.9,12.5,1.5,539.4,36.8,17.2,1.1
PLAS+P,walker2d,medium-expert-v0,3965.6,479.4,86.3,10.4,4967.4,104.2,108.2,2.3
PLAS+P,walker2d,medium-replay-v0,421.9,475.2,9.2,10.4,2130.3,308.9,46.4,6.7
PLAS+P,walker2d,medium-v0,3036.7,310.5,66.1,6.8,3730.5,40.4,81.2,0.9
PLAS+P,walker2d,random-v0,209.1,230.2,4.5,5.0,1025.9,43.7,22.3,1.0
SAC,halfcheetah,medium-expert-v0,-282.4,279.6,-0.0,2.3,383.6,322.6,5.3,2.6
SAC,halfcheetah,medium-replay-v0,4451.4,912.2,38.1,7.3,5492.6,81.7,46.5,0.7
SAC,halfcheetah,medium-v0,3458.1,1310.2,30.1,10.6,4088.6,558.4,35.2,4.5
SAC,halfcheetah,random-v0,3467.9,239.5,30.2,1.9,3838.8,271.9,33.2,2.2
SAC,hopper,medium-expert-v0,234.9,295.7,7.8,9.1,924.0,184.9,29.0,5.7
SAC,hopper,medium-replay-v0,254.8,384.8,8.5,11.8,1870.8,909.2,58.1,27.9
SAC,hopper,medium-v0,19.2,27.0,1.2,0.8,211.5,159.4,7.1,4.9
SAC,hopper,random-v0,17.0,18.1,1.1,0.6,454.1,366.6,14.6,11.3
SAC,walker2d,medium-expert-v0,80.9,133.9,1.7,2.9,518.1,240.8,11.3,5.2
SAC,walker2d,medium-replay-v0,206.5,176.2,4.5,3.8,1075.3,332.8,23.4,7.2
SAC,walker2d,medium-v0,97.2,243.6,2.1,5.3,853.2,223.5,18.5,4.9
SAC,walker2d,random-v0,118.6,76.0,2.5,1.7,1052.7,61.0,22.9,1.3
TD3,halfcheetah,medium-expert-v0,-445.4,201.1,-1.3,1.6,35.5,420.5,2.5,3.4
TD3,halfcheetah,medium-replay-v0,4010.7,397.7,34.6,3.2,4879.8,261.0,41.6,2.1
TD3,halfcheetah,medium-v0,3243.9,978.0,28.4,7.9,3722.2,636.2,32.2,5.1
TD3,halfcheetah,random-v0,3756.8,261.2,32.5,2.1,4086.3,367.7,35.2,3.0
TD3,hopper,medium-expert-v0,252.0,121.4,8.4,3.7,1105.5,399.9,34.6,12.3
TD3,hopper,medium-replay-v0,425.5,253.5,13.7,7.8,1901.1,595.3,59.0,18.3
TD3,hopper,medium-v0,3.1,3.2,0.7,0.1,163.0,269.6,5.6,8.3
TD3,hopper,random-v0,18.2,17.5,1.2,0.5,133.4,54.9,4.7,1.7
TD3,walker2d,medium-expert-v0,79.5,83.8,1.7,1.8,657.5,274.5,14.3,6.0
TD3,walker2d,medium-replay-v0,332.8,219.6,7.2,4.8,1189.5,294.2,25.9,6.4
TD3,walker2d,medium-v0,1.3,39.8,-0.0,0.9,608.3,229.5,13.2,5.0
TD3,walker2d,random-v0,147.3,77.5,3.2,1.7,910.1,128.2,19.8,2.8
